linguagem;algoritmo;tamanho;media
c;merge;10^1;0.00000170
c;merge;10^2;0.00000620
c;merge;10^3;0.00005950
c;merge;10^4;0.00075360
c;merge;10^5;0.00832100
c;merge;10^6;0.10275760
c;merge;10^7;0.00000000
