linguagem;algoritmo;tamanho;media
c;merge;10^1;0.00000180
c;merge;10^2;0.00001270
c;merge;10^3;0.00012970
c;merge;10^4;0.00160800
c;merge;10^5;0.01829820
c;merge;10^6;0.21370540
c;merge;10^7;2.44717950
c;merge;10^8;32.45422710
