linguagem;algoritmo;tamanho;media
c;bubble;10^1;0.00000160
c;bubble;10^2;0.00001340
c;bubble;10^3;0.00095970
c;bubble;10^4;0.08557440
c;bubble;10^5;16.58312700
c;bubble;10^6;1696.19906350
